number_of_tasks,number_of_drones,drone_speed,truck_speed,No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Avg_Energy_consumption,Avg_power,Costmer_density
1.0,1.0,50.0,50.0,1,1,141.2,21.67,3060.23,141.2,1.0,3060.23,2522.63,2522.63,0.5
51.0,1.0,50.0,50.0,1,51,4272.0,40.43,172700.78,83.76,51.0,172700.78,106784.85,106784.85,0.5
101.0,1.0,50.0,50.0,1,101,8341.97,41.27,344239.3,82.59,101.0,344239.3,204108.56,204108.56,0.5
151.0,1.0,50.0,50.0,1,151,12122.23,41.61,504437.99,80.28,151.0,504437.99,293745.5,293745.5,0.5
201.0,1.0,50.0,50.0,1,201,15595.67,41.77,651401.34,77.59,201.0,651401.34,376131.54,376131.54,0.5
251.0,1.0,50.0,50.0,1,251,19910.3,41.87,833676.42,79.32,251.0,833676.42,480681.24,480681.24,0.5
301.0,1.0,50.0,50.0,1,301,24494.47,41.96,1027686.71,81.38,301.0,1027686.71,591957.89,591957.89,0.5
351.0,1.0,50.0,50.0,1,351,28332.4,42.02,1190462.18,80.72,351.0,1190462.18,679528.18,679528.18,0.5
1.0,11.0,50.0,50.0,11,1,141.2,21.67,3060.23,141.2,0.09,278.2,229.33,229.33,0.5
51.0,11.0,50.0,50.0,11,51,648.23,34.58,212301.87,12.71,4.64,19300.17,14568.222727272723,14568.222727272723,0.5
101.0,11.0,50.0,50.0,11,101,1020.0,34.7,372578.92,10.1,9.18,33870.81,23006.25454545455,23006.25454545455,0.5
151.0,11.0,50.0,50.0,11,151,1378.03,35.73,520761.61,9.13,13.73,47341.96,30740.83545454545,30740.83545454545,0.5
201.0,11.0,50.0,50.0,11,201,1692.9,36.92,667838.5,8.42,18.27,60712.59,38100.27272727273,38100.27272727273,0.5
251.0,11.0,50.0,50.0,11,251,2066.97,38.42,849594.8,8.23,22.82,77235.89,47499.29454545455,47499.29454545455,0.5
301.0,11.0,50.0,50.0,11,301,2488.77,38.39,1042570.89,8.27,27.36,94779.17,57624.61818181817,57624.61818181817,0.5
351.0,11.0,50.0,50.0,11,351,2826.27,39.34,1206393.2,8.05,31.91,109672.11,65518.30818181818,65518.30818181818,0.5
1.0,21.0,50.0,50.0,21,1,141.2,21.67,3060.23,141.2,0.05,145.73,120.1252380952381,120.1252380952381,0.5
51.0,21.0,50.0,50.0,21,51,547.8,31.59,284698.46,10.74,2.43,13557.07,11168.272857142856,11168.272857142856,0.5
101.0,21.0,50.0,50.0,21,101,692.3,33.45,414437.3599999999,6.85,4.81,19735.11,14749.613809523811,14749.613809523811,0.5
151.0,21.0,50.0,50.0,21,151,874.87,33.78,554767.37,5.79,7.19,26417.49,18580.13095238096,18580.13095238096,0.5
201.0,21.0,50.0,50.0,21,201,1038.13,33.51,694224.2200000001,5.16,9.57,33058.3,22324.77,22324.77,0.5
251.0,21.0,50.0,50.0,21,251,1245.27,35.5,873759.8500000002,4.96,11.95,41607.61,27264.8780952381,27264.8780952381,0.5
301.0,21.0,50.0,50.0,21,301,1461.93,37.46,1068233.9999999998,4.86,14.33,50868.29,32525.547142857136,32525.547142857136,0.5
351.0,21.0,50.0,50.0,21,351,1629.53,36.98,1228774.3199999998,4.64,16.71,58513.06,36532.53380952381,36532.53380952381,0.5
1.0,31.0,50.0,50.0,31,1,141.2,21.67,3060.23,141.2,0.03,98.72,81.37516129032258,81.37516129032258,0.5
51.0,31.0,50.0,50.0,31,51,477.47,41.01,417923.52,9.36,1.65,13481.4,9923.410967741936,9923.410967741936,0.5
101.0,31.0,50.0,50.0,31,101,574.67,34.9,479689.07000000007,5.69,3.26,15473.84,12123.41870967742,12123.41870967742,0.5
151.0,31.0,50.0,50.0,31,151,700.93,36.67,599061.48,4.64,4.87,19324.56,14388.383548387095,14388.383548387095,0.5
201.0,31.0,50.0,50.0,31,201,803.87,32.82,735614.62,4.0,6.48,23729.5,16973.861612903223,16973.861612903223,0.5
251.0,31.0,50.0,50.0,31,251,938.93,34.48,909953.62,3.74,8.1,29353.34,20171.991290322578,20171.991290322578,0.5
301.0,31.0,50.0,50.0,31,301,1084.7,36.28,1101854.08,3.6,9.71,35543.68,23699.129032258064,23699.129032258064,0.5
351.0,31.0,50.0,50.0,31,351,1214.33,36.15,1260515.2399999998,3.46,11.32,40661.78,26428.84903225807,26428.84903225807,0.5
1.0,41.0,50.0,50.0,41,1,141.2,21.67,3060.23,141.2,0.02,74.64,61.52756097560976,61.52756097560976,0.5
51.0,41.0,50.0,50.0,41,51,476.1,48.45,531172.51,9.34,1.24,12955.43,8749.011707317071,8749.011707317071,0.5
101.0,41.0,50.0,50.0,41,101,549.5,40.06,562118.1,5.44,2.46,13710.2,11104.0656097561,11104.0656097561,0.5
151.0,41.0,50.0,50.0,41,151,602.73,36.6,656568.92,3.99,3.68,16013.88,12378.527804878047,12378.527804878047,0.5
201.0,41.0,50.0,50.0,41,201,689.63,32.75,780742.7200000001,3.43,4.9,19042.51,14203.74512195122,14203.74512195122,0.5
251.0,41.0,50.0,50.0,41,251,790.63,34.99,957207.62,3.15,6.12,23346.53,16632.48731707317,16632.48731707317,0.5
301.0,41.0,50.0,50.0,41,301,899.33,35.12,1141687.85,2.99,7.34,27846.05,19255.275609756103,19255.275609756103,0.5
351.0,41.0,50.0,50.0,41,351,995.87,36.06,1300320.68,2.84,8.56,31715.14,21311.36463414634,21311.36463414634,0.5
1.0,1.0,100.0,50.0,1,1,27.3,112.1,3060.23,27.3,1.0,3060.23,695.42,695.42,0.5
51.0,1.0,100.0,50.0,1,51,1862.63,94.35,175734.24,36.52,51.0,175734.24,55884.58,55884.58,0.5
101.0,1.0,100.0,50.0,1,101,3673.53,94.31,346444.97,36.37,101.0,346444.97,107290.83,107290.83,0.5
151.0,1.0,100.0,50.0,1,151,5369.93,94.33,506551.48,35.56,151.0,506551.48,155151.44,155151.44,0.5
201.0,1.0,100.0,50.0,1,201,6919.07,94.41,653205.21,34.42,201.0,653205.21,198834.4,198834.4,0.5
251.0,1.0,100.0,50.0,1,251,8840.53,94.48,835221.7,35.22,251.0,835221.7,254134.23,254134.23,0.5
301.0,1.0,100.0,50.0,1,301,10884.13,94.56,1029232.0,36.16,301.0,1029232.0,313228.68,313228.68,0.5
351.0,1.0,100.0,50.0,1,351,12595.37,94.63,1191953.86,35.88,351.0,1191953.86,360037.91,360037.91,0.5
1.0,11.0,100.0,50.0,11,1,27.3,112.1,3060.23,27.3,0.09,278.2,63.22,63.22,0.5
51.0,11.0,100.0,50.0,11,51,336.7,108.23,359556.59,6.6,4.64,32686.96,9877.12181818182,9877.12181818182,0.5
101.0,11.0,100.0,50.0,11,101,428.7,97.36,445340.89,4.24,9.18,40485.54,12516.015454545452,12516.015454545452,0.5
151.0,11.0,100.0,50.0,11,151,576.33,92.81,575945.62,3.82,13.73,52358.69,16257.116363636364,16257.116363636364,0.5
201.0,11.0,100.0,50.0,11,201,718.1,93.25,718385.5099999999,3.57,18.27,65307.77,20263.49909090909,20263.49909090909,0.5
251.0,11.0,100.0,50.0,11,251,889.0,93.55,899214.74,3.54,22.82,81746.79,25216.94636363636,25216.94636363636,0.5
301.0,11.0,100.0,50.0,11,301,1075.2,93.14,1089849.55,3.57,27.36,99077.23,30558.208181818187,30558.208181818187,0.5
351.0,11.0,100.0,50.0,11,351,1229.03,93.18,1247269.51,3.5,31.91,113388.14,34756.92,34756.92,0.5
1.0,21.0,100.0,50.0,21,1,27.3,112.1,3060.23,27.3,0.05,145.73,33.11523809523809,33.11523809523809,0.5
51.0,21.0,100.0,50.0,21,51,270.4,111.03,483100.08,5.3,2.43,23004.77,7119.036666666668,7119.036666666668,0.5
101.0,21.0,100.0,50.0,21,101,335.0,111.29,681972.05,3.32,4.81,32474.86,9772.331904761904,9772.331904761904,0.5
151.0,21.0,100.0,50.0,21,151,375.8,102.84,755616.3399999999,2.49,7.19,35981.73,10754.818095238095,10754.818095238095,0.5
201.0,21.0,100.0,50.0,21,201,439.23,96.97,832355.3799999999,2.19,9.57,39635.97,12253.279047619048,12253.279047619048,0.5
251.0,21.0,100.0,50.0,21,251,523.67,93.14,993422.18,2.09,11.95,47305.82,14655.153809523814,14655.153809523814,0.5
301.0,21.0,100.0,50.0,21,301,621.23,93.66,1178732.2200000002,2.06,14.33,56130.11,17377.74047619048,17377.74047619048,0.5
351.0,21.0,100.0,50.0,21,351,697.27,93.71,1333605.4499999995,1.99,16.71,63505.02,19540.35142857143,19540.35142857143,0.5
1.0,31.0,100.0,50.0,31,1,27.3,112.1,3060.23,27.3,0.03,98.72,22.43290322580645,22.43290322580645,0.5
51.0,31.0,100.0,50.0,31,51,221.1,116.31,539210.71,4.34,1.65,17393.89,5375.311612903226,5375.311612903226,0.5
101.0,31.0,100.0,50.0,31,101,295.9,112.38,829571.3199999998,2.93,3.26,26760.37,8144.905483870969,8144.905483870969,0.5
151.0,31.0,100.0,50.0,31,151,331.6,106.91,964340.55,2.2,4.87,31107.76,9201.681612903229,9201.681612903229,0.5
201.0,31.0,100.0,50.0,31,201,360.5,107.07,1070721.63,1.79,6.48,34539.41,10342.638387096777,10342.638387096777,0.5
251.0,31.0,100.0,50.0,31,251,401.3,99.59,1146342.33,1.6,8.1,36978.78,11300.49870967742,11300.49870967742,0.5
301.0,31.0,100.0,50.0,31,301,462.1,95.75,1294717.33,1.54,9.71,41765.08,12852.448064516127,12852.448064516127,0.5
351.0,31.0,100.0,50.0,31,351,511.23,95.53,1434976.3099999998,1.46,11.32,46289.56,14215.876451612903,14215.876451612903,0.5
1.0,41.0,100.0,50.0,41,1,27.3,112.1,3060.23,27.3,0.02,74.64,16.961463414634146,16.961463414634146,0.5
51.0,41.0,100.0,50.0,41,51,210.9,114.53,575297.0999999999,4.14,1.24,14031.64,4366.184146341463,4366.184146341463,0.5
101.0,41.0,100.0,50.0,41,101,263.6,112.08,923754.3600000005,2.61,2.46,22530.59,6945.581219512197,6945.581219512197,0.5
151.0,41.0,100.0,50.0,41,151,297.6,110.33,1112685.13,1.97,3.68,27138.66,8104.023658536586,8104.023658536586,0.5
201.0,41.0,100.0,50.0,41,201,328.2,111.71,1267852.2100000002,1.63,4.9,30923.22,9200.900975609758,9200.900975609758,0.5
251.0,41.0,100.0,50.0,41,251,363.9,101.64,1386965.1299999997,1.45,6.12,33828.42,10050.506585365853,10050.506585365853,0.5
301.0,41.0,100.0,50.0,41,301,391.1,100.53,1486302.2199999995,1.3,7.34,36251.27,10937.65463414634,10937.65463414634,0.5
351.0,41.0,100.0,50.0,41,351,422.53,95.71,1570969.7599999998,1.2,8.56,38316.34,11695.235121951218,11695.235121951218,0.5
1.0,1.0,150.0,50.0,1,1,22.2,137.85,3060.23,22.2,1.0,3060.23,742.44,742.44,0.5
51.0,1.0,150.0,50.0,1,51,1224.13,146.08,178826.4,24.0,51.0,178826.4,47554.86,47554.86,0.5
101.0,1.0,150.0,50.0,1,101,2369.0,146.43,346900.66,23.46,101.0,346900.66,89905.12,89905.12,0.5
151.0,1.0,150.0,50.0,1,151,3452.9,146.79,506842.13,22.87,151.0,506842.13,129839.45,129839.45,0.5
201.0,1.0,150.0,50.0,1,201,4453.8,146.95,654474.92,22.16,201.0,654474.92,166808.48,166808.48,0.5
251.0,1.0,150.0,50.0,1,251,5690.7,147.07,836923.91,22.67,251.0,836923.91,213139.06,213139.06,0.5
301.0,1.0,150.0,50.0,1,301,7005.47,147.16,1030934.2,23.27,301.0,1030934.2,262688.67,262688.67,0.5
351.0,1.0,150.0,50.0,1,351,8104.5,147.25,1193392.36,23.09,351.0,1193392.36,302276.98,302276.98,0.5
1.0,11.0,150.0,50.0,11,1,22.2,137.85,3060.23,22.2,0.09,278.2,67.49454545454546,67.49454545454546,0.5
51.0,11.0,150.0,50.0,11,51,280.6,151.96,414809.04,5.5,4.64,37709.91,9920.446363636363,9920.446363636363,0.5
101.0,11.0,150.0,50.0,11,101,355.4,149.33,549536.6100000001,3.52,9.18,49957.87,13451.612727272726,13451.612727272726,0.5
151.0,11.0,150.0,50.0,11,151,409.73,142.93,626327.3400000001,2.71,13.73,56938.85,15266.747272727273,15266.747272727273,0.5
201.0,11.0,150.0,50.0,11,201,493.1,143.66,755655.0100000001,2.45,18.27,68695.91,18362.87636363636,18362.87636363636,0.5
251.0,11.0,150.0,50.0,11,251,606.57,142.49,933656.72,2.42,22.82,84877.88,22368.484545454543,22368.484545454543,0.5
301.0,11.0,150.0,50.0,11,301,723.3,144.71,1124454.47,2.4,27.36,102223.13,26847.25363636364,26847.25363636364,0.5
351.0,11.0,150.0,50.0,11,351,817.7,144.64,1278736.25,2.33,31.91,116248.75,30244.33909090909,30244.33909090909,0.5
1.0,21.0,150.0,50.0,21,1,22.2,137.85,3060.23,22.2,0.05,145.73,35.35428571428572,35.35428571428572,0.5
51.0,21.0,150.0,50.0,21,51,207.5,158.95,515953.5500000001,4.07,2.43,24569.22,6377.469047619048,6377.469047619048,0.5
101.0,21.0,150.0,50.0,21,101,278.9,151.22,785083.6799999999,2.76,4.81,37384.94,9855.048571428571,9855.048571428571,0.5
151.0,21.0,150.0,50.0,21,151,318.0,150.74,916956.38,2.11,7.19,43664.59,11524.63714285714,11524.63714285714,0.5
201.0,21.0,150.0,50.0,21,201,346.9,149.19,1025220.38,1.73,9.57,48820.02,12974.301428571427,12974.301428571427,0.5
251.0,21.0,150.0,50.0,21,251,380.9,147.52,1114533.38,1.52,11.95,53073.02,14182.35380952381,14182.35380952381,0.5
301.0,21.0,150.0,50.0,21,301,433.8,145.07,1270419.86,1.44,14.33,60496.18,16102.7880952381,16102.7880952381,0.5
351.0,21.0,150.0,50.0,21,351,481.0,145.65,1414405.65,1.37,16.71,67352.65,17780.49952380952,17780.49952380952,0.5
1.0,31.0,150.0,50.0,31,1,22.2,137.85,3060.23,22.2,0.03,98.72,23.94967741935484,23.94967741935484,0.5
51.0,31.0,150.0,50.0,31,51,164.4,157.43,557374.2000000001,3.22,1.65,17979.81,4651.253225806452,4651.253225806452,0.5
101.0,31.0,150.0,50.0,31,101,231.63,164.39,910273.01,2.29,3.26,29363.65,7650.763548387096,7650.763548387096,0.5
151.0,31.0,150.0,50.0,31,151,265.3,152.44,1108349.7999999998,1.76,4.87,35753.22,9305.583225806453,9305.583225806453,0.5
201.0,31.0,150.0,50.0,31,201,302.7,152.31,1283163.41,1.51,6.48,41392.37,10814.430967741931,10814.430967741931,0.5
251.0,31.0,150.0,50.0,31,251,328.2,151.22,1413608.96,1.31,8.1,45600.29,12099.919677419355,12099.919677419355,0.5
301.0,31.0,150.0,50.0,31,301,355.4,148.92,1537806.5299999998,1.18,9.71,49606.66,13167.19709677419,13167.19709677419,0.5
351.0,31.0,150.0,50.0,31,351,377.5,144.83,1626987.5799999998,1.08,11.32,52483.47,13953.070967741936,13953.070967741936,0.5
1.0,41.0,150.0,50.0,41,1,22.2,137.85,3060.23,22.2,0.02,74.64,18.10829268292683,18.10829268292683,0.5
51.0,41.0,150.0,50.0,41,51,158.2,163.12,583214.3900000001,3.1,1.24,14224.74,3667.4192682926814,3667.4192682926814,0.5
101.0,41.0,150.0,50.0,41,101,207.5,150.82,984447.27,2.05,2.46,24010.91,6210.382195121952,6210.382195121952,0.5
151.0,41.0,150.0,50.0,41,151,238.1,155.57,1230037.89,1.58,3.68,30000.92,7794.12243902439,7794.12243902439,0.5
201.0,41.0,150.0,50.0,41,201,265.3,159.94,1456228.4199999997,1.32,4.9,35517.77,9236.352439024393,9236.352439024393,0.5
251.0,41.0,150.0,50.0,41,251,294.2,152.96,1642030.83,1.17,6.12,40049.53,10487.601707317071,10487.601707317071,0.5
301.0,41.0,150.0,50.0,41,301,319.7,151.74,1812914.3200000003,1.06,7.34,44217.42,11643.281219512195,11643.281219512195,0.5
351.0,41.0,150.0,50.0,41,351,338.4,154.42,1933899.13,0.96,8.56,47168.27,12466.725121951218,12466.725121951218,0.5
1.0,1.0,200.0,50.0,1,1,15.4,198.72,3060.23,15.4,1.0,3060.23,722.6,722.6,0.5
51.0,1.0,200.0,50.0,1,51,937.23,195.31,183051.22,18.38,51.0,183051.22,49851.66,49851.66,0.5
101.0,1.0,200.0,50.0,1,101,1792.17,194.78,349070.82,17.74,101.0,349070.82,93261.69,93261.69,0.5
151.0,1.0,200.0,50.0,1,151,2601.77,195.05,507469.31,17.23,151.0,507469.31,134454.21,134454.21,0.5
201.0,1.0,200.0,50.0,1,201,3361.2,195.1,655784.51,16.72,201.0,655784.51,173238.86,173238.86,0.5
251.0,1.0,200.0,50.0,1,251,4290.93,195.37,838303.76,17.1,251.0,838303.76,221185.45,221185.45,0.5
301.0,1.0,200.0,50.0,1,301,5279.0,195.55,1032314.05,17.54,301.0,1032314.05,272375.3,272375.3,0.5
351.0,1.0,200.0,50.0,1,351,6109.37,195.53,1194561.24,17.41,351.0,1194561.24,313872.06,313872.06,0.5
1.0,11.0,200.0,50.0,11,1,15.4,198.72,3060.23,15.4,0.09,278.2,65.69090909090909,65.69090909090909,0.5
51.0,11.0,200.0,50.0,11,51,229.6,208.22,455330.86,4.5,4.64,41393.71,10932.259090909092,10932.259090909092,0.5
101.0,11.0,200.0,50.0,11,101,309.5,200.75,651089.94,3.06,9.18,59189.99,15717.457272727272,15717.457272727272,0.5
151.0,11.0,200.0,50.0,11,151,348.6,197.66,735167.1200000001,2.31,13.73,66833.37,17846.488181818182,17846.488181818182,0.5
201.0,11.0,200.0,50.0,11,201,395.87,191.9,822408.11,1.97,18.27,74764.37,20157.04,20157.04,0.5
251.0,11.0,200.0,50.0,11,251,474.77,190.65,977433.37,1.89,22.82,88857.58,24013.285454545457,24013.285454545457,0.5
301.0,11.0,200.0,50.0,11,301,561.87,192.6,1165361.82,1.87,27.36,105941.98,28577.40363636363,28577.40363636363,0.5
351.0,11.0,200.0,50.0,11,351,629.17,193.7,1315785.98,1.79,31.91,119616.91,32060.64,32060.64,0.5
1.0,21.0,200.0,50.0,21,1,15.4,198.72,3060.23,15.4,0.05,145.73,34.40952380952381,34.40952380952381,0.5
51.0,21.0,200.0,50.0,21,51,168.4,206.72,536785.39,3.3,2.43,25561.21,6753.902857142857,6753.902857142857,0.5
101.0,21.0,200.0,50.0,21,101,227.9,205.69,862946.6699999999,2.26,4.81,41092.7,10832.719523809526,10832.719523809526,0.5
151.0,21.0,200.0,50.0,21,151,268.7,202.81,1043790.68,1.78,7.19,49704.32,13065.282857142858,13065.282857142858,0.5
201.0,21.0,200.0,50.0,21,201,302.7,202.22,1197114.51,1.51,9.57,57005.45,15080.323809523812,15080.323809523812,0.5
251.0,21.0,200.0,50.0,21,251,331.6,198.71,1319861.3200000003,1.32,11.95,62850.54,16719.315714285716,16719.315714285716,0.5
301.0,21.0,200.0,50.0,21,301,360.5,195.46,1433284.79,1.2,14.33,68251.66,18295.730000000003,18295.730000000003,0.5
351.0,21.0,200.0,50.0,21,351,384.63,195.41,1527044.86,1.1,16.71,72716.42,19529.34809523809,19529.34809523809,0.5
1.0,31.0,200.0,50.0,31,1,15.4,198.72,3060.23,15.4,0.03,98.72,23.30967741935484,23.30967741935484,0.5
51.0,31.0,200.0,50.0,31,51,131.0,207.52,568433.27,2.57,1.65,18336.56,4833.110967741935,4833.110967741935,0.5
101.0,31.0,200.0,50.0,31,101,192.2,209.65,965483.4800000002,1.9,3.26,31144.63,8191.161935483872,8191.161935483872,0.5
151.0,31.0,200.0,50.0,31,151,219.4,202.11,1211640.5400000005,1.45,4.87,39085.18,10221.766774193547,10221.766774193547,0.5
201.0,31.0,200.0,50.0,31,201,255.1,204.54,1434535.23,1.27,6.48,46275.33,12154.710645161287,12154.710645161287,0.5
251.0,31.0,200.0,50.0,31,251,282.3,205.54,1623905.5499999998,1.12,8.1,52384.05,13810.47064516129,13810.47064516129,0.5
301.0,31.0,200.0,50.0,31,301,307.8,199.65,1799596.75,1.02,9.71,58051.51,15350.998387096775,15350.998387096775,0.5
351.0,31.0,200.0,50.0,31,351,329.9,199.01,1926138.48,0.94,11.32,62133.5,16464.550967741932,16464.550967741932,0.5
1.0,41.0,200.0,50.0,41,1,15.4,198.72,3060.23,15.4,0.02,74.64,17.62439024390244,17.62439024390244,0.5
51.0,41.0,200.0,50.0,41,51,125.9,204.03,587743.9199999999,2.47,1.24,14335.22,3777.7575609756095,3777.7575609756095,0.5
101.0,41.0,200.0,50.0,41,101,165.0,205.75,1023672.6999999998,1.63,2.46,24967.63,6553.318048780488,6553.318048780488,0.5
151.0,41.0,200.0,50.0,41,151,192.2,205.69,1312926.19,1.27,3.68,32022.59,8359.30512195122,8359.30512195122,0.5
201.0,41.0,200.0,50.0,41,201,217.7,204.4,1587745.79,1.08,4.9,38725.51,10129.003902439024,10129.003902439024,0.5
251.0,41.0,200.0,50.0,41,251,246.6,208.09,1828728.39,0.98,6.12,44603.13,11709.619268292685,11709.619268292685,0.5
301.0,41.0,200.0,50.0,41,301,273.8,204.21,2061223.2200000004,0.91,7.34,50273.74,13221.35780487805,13221.35780487805,0.5
351.0,41.0,200.0,50.0,41,351,294.2,201.5,2242720.97,0.84,8.56,54700.51,14376.190487804875,14376.190487804875,0.5
1.0,1.0,250.0,50.0,1,1,12.0,255.02,3060.23,12.0,1.0,3060.23,802.82,802.82,0.5
51.0,1.0,250.0,50.0,1,51,765.4,242.35,185498.35,15.01,51.0,185498.35,56492.4,56492.4,0.5
101.0,1.0,250.0,50.0,1,101,1450.6,242.77,352158.92,14.36,101.0,352158.92,105628.1,105628.1,0.5
151.0,1.0,250.0,50.0,1,151,2091.4,243.67,509601.59,13.85,151.0,509601.59,151573.53,151573.53,0.5
201.0,1.0,250.0,50.0,1,201,2699.27,243.59,657526.0,13.43,201.0,657526.0,195170.96,195170.96,0.5
251.0,1.0,250.0,50.0,1,251,3442.87,244.02,840139.07,13.72,251.0,840139.07,248974.55,248974.55,0.5
301.0,1.0,250.0,50.0,1,301,4230.83,244.39,1033967.92,14.06,301.0,1033967.92,306209.83,306209.83,0.5
351.0,1.0,250.0,50.0,1,351,4890.87,244.73,1196965.27,13.93,351.0,1196965.27,352911.78,352911.78,0.5
1.0,11.0,250.0,50.0,11,1,12.0,255.02,3060.23,12.0,0.09,278.2,72.98363636363636,72.98363636363636,0.5
51.0,11.0,250.0,50.0,11,51,197.3,255.48,481276.51,3.87,4.64,43752.41,12776.42909090909,12776.42909090909,0.5
101.0,11.0,250.0,50.0,11,101,275.5,251.37,721226.95,2.73,9.18,65566.09,19156.51636363636,19156.51636363636,0.5
151.0,11.0,250.0,50.0,11,151,318.0,247.87,836950.7000000001,2.11,13.73,76086.43,22290.844545454547,22290.844545454547,0.5
201.0,11.0,250.0,50.0,11,201,355.4,242.89,929693.3,1.77,18.27,84517.57,25194.60636363636,25194.60636363636,0.5
251.0,11.0,250.0,50.0,11,251,401.2,239.68,1038020.47,1.6,22.82,94365.5,28513.817272727272,28513.817272727272,0.5
301.0,11.0,250.0,50.0,11,301,467.77,240.24,1212157.41,1.55,27.36,110196.13,33356.10545454545,33356.10545454545,0.5
351.0,11.0,250.0,50.0,11,351,522.83,241.93,1358450.7699999998,1.49,31.91,123495.52,37200.92181818182,37200.92181818182,0.5
1.0,21.0,250.0,50.0,21,1,12.0,255.02,3060.23,12.0,0.05,145.73,38.22952380952381,38.22952380952381,0.5
51.0,21.0,250.0,50.0,21,51,139.5,257.01,549366.8700000001,2.74,2.43,26160.33,7638.214761904761,7638.214761904761,0.5
101.0,21.0,250.0,50.0,21,101,195.6,254.12,913135.05,1.94,4.81,43482.62,12628.94142857143,12628.94142857143,0.5
151.0,21.0,250.0,50.0,21,151,233.0,254.49,1130378.83,1.54,7.19,53827.56,15543.16619047619,15543.16619047619,0.5
201.0,21.0,250.0,50.0,21,201,265.3,253.07,1323630.41,1.32,9.57,63030.02,18341.750000000004,18341.750000000004,0.5
251.0,21.0,250.0,50.0,21,251,295.9,249.46,1483011.6,1.18,11.95,70619.6,20636.687619047618,20636.687619047618,0.5
301.0,21.0,250.0,50.0,21,301,326.5,249.75,1630806.76,1.08,14.33,77657.46,22822.202857142856,22822.202857142856,0.5
351.0,21.0,250.0,50.0,21,351,346.9,247.76,1741009.8,0.99,16.71,82905.23,24478.990952380955,24478.990952380955,0.5
1.0,31.0,250.0,50.0,31,1,12.0,255.02,3060.23,12.0,0.03,98.72,25.89741935483871,25.89741935483871,0.5
51.0,31.0,250.0,50.0,31,51,110.6,248.63,575213.8500000001,2.17,1.65,18555.29,5448.370322580644,5448.370322580644,0.5
101.0,31.0,250.0,50.0,31,101,161.6,258.34,999438.46,1.6,3.26,32239.95,9358.448387096774,9358.448387096774,0.5
151.0,31.0,250.0,50.0,31,151,185.4,254.28,1277299.46,1.23,4.87,41203.21,11869.519677419356,11869.519677419356,0.5
201.0,31.0,250.0,50.0,31,201,221.1,257.27,1538277.92,1.1,6.48,49621.87,14361.001290322578,14361.001290322578,0.5
251.0,31.0,250.0,50.0,31,251,246.6,257.65,1772111.93,0.98,8.1,57164.9,16543.629677419354,16543.629677419354,0.5
301.0,31.0,250.0,50.0,31,301,272.1,254.35,1996243.17,0.9,9.71,64394.94,18664.076451612906,18664.076451612906,0.5
351.0,31.0,250.0,50.0,31,351,292.5,254.22,2166233.78,0.83,11.32,69878.51,20283.96967741936,20283.96967741936,0.5
1.0,41.0,250.0,50.0,41,1,12.0,255.02,3060.23,12.0,0.02,74.64,19.5809756097561,19.5809756097561,0.5
51.0,41.0,250.0,50.0,41,51,103.8,251.09,590643.4199999999,2.04,1.24,14405.94,4221.046585365853,4221.046585365853,0.5
101.0,41.0,250.0,50.0,41,101,137.8,256.18,1046704.38,1.36,2.46,25529.38,7402.048780487803,7402.048780487803,0.5
151.0,41.0,250.0,50.0,41,151,161.6,255.6,1364089.0699999996,1.07,3.68,33270.47,9589.32487804878,9589.32487804878,0.5
201.0,41.0,250.0,50.0,41,201,187.1,250.67,1672637.049999999,0.93,4.9,40796.03,11766.066341463416,11766.066341463416,0.5
251.0,41.0,250.0,50.0,41,251,212.6,256.91,1954286.16,0.85,6.12,47665.52,13775.70414634146,13775.70414634146,0.5
301.0,41.0,250.0,50.0,41,301,239.8,258.87,2236729.2700000005,0.8,7.34,54554.37,15764.300487804876,15764.300487804876,0.5
351.0,41.0,250.0,50.0,41,351,256.8,253.38,2461497.55,0.73,8.56,60036.53,17346.882682926833,17346.882682926833,0.5
1.0,1.0,300.0,50.0,1,1,10.3,297.11,3060.23,10.3,1.0,3060.23,983.36,983.36,0.5
51.0,1.0,300.0,50.0,1,51,649.53,289.42,187986.84,12.74,51.0,187986.84,66625.75,66625.75,0.5
101.0,1.0,300.0,50.0,1,101,1224.9,289.46,354558.4,12.13,101.0,354558.4,124437.99,124437.99,0.5
151.0,1.0,300.0,50.0,1,151,1756.1,290.92,510892.79,11.63,151.0,510892.79,177722.44,177722.44,0.5
201.0,1.0,300.0,50.0,1,201,2260.6,291.51,658994.66,11.25,201.0,658994.66,228386.22,228386.22,0.5
251.0,1.0,300.0,50.0,1,251,2876.6,292.57,841619.02,11.46,251.0,841619.02,290766.08,290766.08,0.5
301.0,1.0,300.0,50.0,1,301,3532.27,293.07,1035195.6,11.74,301.0,1035195.6,357291.38,357291.38,0.5
351.0,1.0,300.0,50.0,1,351,4089.27,293.08,1198467.2,11.65,351.0,1198467.2,412555.42,412555.42,0.5
1.0,11.0,300.0,50.0,11,1,10.3,297.11,3060.23,10.3,0.09,278.2,89.39636363636363,89.39636363636363,0.5
51.0,11.0,300.0,50.0,11,51,168.4,312.01,496830.35,3.3,4.64,45166.4,15394.323636363635,15394.323636363635,0.5
101.0,11.0,300.0,50.0,11,101,248.3,300.27,764466.5899999999,2.46,9.18,69496.96,24044.028181818183,24044.028181818183,0.5
