number_of_drones,customer_density,moving_truck,No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Energy_consumption,Avg_power,Costmer_density
48,0.8,1,48,50,72.7,265.96,539988.76,1.45,1.04,11249.77,,,0.8
49,0.8,1,49,50,72.33,271.44,543071.21,1.45,1.02,11083.09,,,0.8
50,0.8,1,50,50,72.33,258.82,545454.9699999999,1.45,1.0,10909.1,,,0.8
1,0.9,1,1,50,896.5,195.31,175099.57,17.93,50.0,175099.57,,,0.9
2,0.9,1,2,50,461.5,193.99,178357.43,9.23,25.0,89178.71,,,0.9
3,0.9,1,3,50,319.17,192.26,180554.24,6.38,16.67,60184.75,,,0.9
4,0.9,1,4,50,248.87,188.73,184850.46,4.98,12.5,46212.62,,,0.9
5,0.9,1,5,50,207.87,188.11,190363.04,4.16,10.0,38072.61,,,0.9
6,0.9,1,6,50,178.43,190.44,196237.03,3.57,8.33,32706.17,,,0.9
7,0.9,1,7,50,160.7,182.85,198670.58,3.21,7.14,28381.51,,,0.9
8,0.9,1,8,50,145.67,191.81,206506.32,2.91,6.25,25813.29,,,0.9
9,0.9,1,9,50,136.97,193.84,215147.4,2.74,5.56,23905.27,,,0.9
10,0.9,1,10,50,128.2,188.61,223829.94,2.56,5.0,22382.99,,,0.9
11,0.9,1,11,50,122.43,190.53,228299.44,2.45,4.55,20754.49,,,0.9
12,0.9,1,12,50,117.97,187.43,237395.61,2.36,4.17,19782.97,,,0.9
13,0.9,1,13,50,112.23,182.16,240698.8,2.24,3.85,18515.29,,,0.9
14,0.9,1,14,50,107.1,188.24,253102.82,2.14,3.57,18078.77,,,0.9
15,0.9,1,15,50,106.6,184.48,270752.75,2.13,3.33,18050.18,,,0.9
16,0.9,1,16,50,104.17,217.3,287572.64,2.08,3.12,17973.29,,,0.9
17,0.9,1,17,50,103.03,207.55,303641.83,2.06,2.94,17861.28,,,0.9
18,0.9,1,18,50,98.73,215.57,320245.17000000004,1.97,2.78,17791.4,,,0.9
19,0.9,1,19,50,95.8,217.39,336380.91000000003,1.92,2.63,17704.26,,,0.9
20,0.9,1,20,50,95.8,230.77,348232.0099999999,1.92,2.5,17411.6,,,0.9
21,0.9,1,21,50,95.43,251.08,360286.65,1.91,2.38,17156.51,,,0.9
22,0.9,1,22,50,92.5,249.38,371173.42,1.85,2.27,16871.52,,,0.9
23,0.9,1,23,50,87.73,272.09,382884.88,1.75,2.17,16647.17,,,0.9
24,0.9,1,24,50,87.0,253.83,394100.5800000001,1.74,2.08,16420.86,,,0.9
25,0.9,1,25,50,86.63,242.02,404116.7599999999,1.73,2.0,16164.67,,,0.9
26,0.9,1,26,50,85.9,242.38,412726.6799999999,1.72,1.92,15874.1,,,0.9
27,0.9,1,27,50,83.33,245.44,421248.82000000007,1.67,1.85,15601.81,,,0.9
28,0.9,1,28,50,82.97,244.75,429138.1099999999,1.66,1.79,15326.36,,,0.9
29,0.9,1,29,50,82.6,256.29,436922.4,1.65,1.72,15066.29,,,0.9
30,0.9,1,30,50,82.97,255.79,445101.1,1.66,1.67,14836.7,,,0.9
31,0.9,1,31,50,82.97,240.37,453077.08,1.66,1.61,14615.39,,,0.9
32,0.9,1,32,50,82.97,238.5,461468.70000000007,1.66,1.56,14420.9,,,0.9
33,0.9,1,33,50,80.4,250.31,469296.69,1.61,1.52,14221.11,,,0.9
34,0.9,1,34,50,80.03,262.05,476771.04999999993,1.6,1.47,14022.68,,,0.9
35,0.9,1,35,50,80.03,267.09,483589.4199999999,1.6,1.43,13816.84,,,0.9
36,0.9,1,36,50,79.67,266.83,490630.0499999999,1.59,1.39,13628.61,,,0.9
37,0.9,1,37,50,79.3,276.17,497146.26999999984,1.59,1.35,13436.39,,,0.9
38,0.9,1,38,50,79.3,276.51,503424.98,1.59,1.32,13248.03,,,0.9
39,0.9,1,39,50,78.93,251.46,509393.0999999998,1.58,1.28,13061.36,,,0.9
40,0.9,1,40,50,78.57,263.41,515335.84,1.57,1.25,12883.4,,,0.9
41,0.9,1,41,50,77.83,267.52,521190.0899999999,1.56,1.22,12711.95,,,0.9
42,0.9,1,42,50,77.83,260.25,527109.3799999999,1.56,1.19,12550.22,,,0.9
43,0.9,1,43,50,75.63,263.55,532666.32,1.51,1.16,12387.59,,,0.9
44,0.9,1,44,50,75.63,266.67,537052.3299999998,1.51,1.14,12205.73,,,0.9
45,0.9,1,45,50,75.63,267.3,541336.5,1.51,1.11,12029.7,,,0.9
46,0.9,1,46,50,75.63,261.08,545520.4099999999,1.51,1.09,11859.14,,,0.9
47,0.9,1,47,50,74.53,275.53,549668.83,1.49,1.06,11695.08,,,0.9
48,0.9,1,48,50,73.43,280.48,553251.1699999999,1.47,1.04,11526.07,,,0.9
49,0.9,1,49,50,70.13,278.82,556133.8899999999,1.4,1.02,11349.67,,,0.9
50,0.9,1,50,50,69.77,273.54,557175.17,1.4,1.0,11143.5,,,0.9
