number_of_tasks,number_of_drones,No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Avg_Energy_consumption,Avg_power,Costmer_density
150,14,14,150,221.83,186.34,549799.5800000001,1.48,10.71,39271.4,10909.543571428572,10909.543571428572,0.5
200,14,14,200,275.17,186.43,694645.63,1.38,14.29,49617.54,13658.69714285714,13658.69714285714,0.5
250,14,14,250,340.6,191.35,882051.0499999999,1.36,17.86,63003.65,17109.442857142854,17109.442857142854,0.5
300,14,14,300,412.03,190.17,1068740.13,1.37,21.43,76338.58,20654.321428571428,20654.321428571428,0.5
1,15,15,1,15.13,202.22,3060.23,15.13,0.07,204.02,47.48066666666667,47.48066666666667,0.5
50,15,15,50,108.43,190.62,268789.78,2.17,3.33,17919.32,4969.378,4969.378,0.5
100,15,15,100,158.9,191.78,411441.9000000001,1.59,6.67,27429.46,7679.991333333333,7679.991333333333,0.5
150,15,15,150,209.5,183.8,553914.29,1.4,10.0,36927.62,10297.382,10297.382,0.5
200,15,15,200,260.13,186.92,697188.05,1.3,13.33,46479.2,12820.204000000002,12820.204000000002,0.5
250,15,15,250,321.4,191.27,884196.26,1.29,16.67,58946.42,16082.117333333332,16082.117333333332,0.5
300,15,15,300,386.1,189.72,1070372.89,1.29,20.0,71358.19,19361.73933333333,19361.73933333333,0.5
1,16,16,1,15.13,202.22,3060.23,15.13,0.06,191.26,44.513125,44.513125,0.5
50,16,16,50,107.97,190.59,286397.64,2.16,3.12,17899.85,4832.564374999999,4832.564374999999,0.5
100,16,16,100,151.03,183.63,419768.21,1.51,6.25,26235.51,7340.569375000002,7340.569375000002,0.5
150,16,16,150,200.43,181.16,561577.0800000001,1.34,9.38,35098.57,9762.349375,9762.349375,0.5
200,16,16,200,245.93,185.68,704985.9299999999,1.23,12.5,44061.62,12174.83,12174.83,0.5
250,16,16,250,302.87,194.75,888583.12,1.21,15.62,55536.44,15133.721875000005,15133.721875000005,0.5
300,16,16,300,364.8,190.36,1078096.0199999998,1.22,18.75,67381.0,18290.000625,18290.000625,0.5
1,17,17,1,15.13,202.22,3060.23,15.13,0.06,180.01,41.89470588235295,41.89470588235295,0.5
50,17,17,50,104.5,205.77,304492.22000000003,2.09,2.94,17911.31,4735.748823529412,4735.748823529412,0.5
100,17,17,100,146.6,189.5,424406.42,1.47,5.88,24965.08,7035.964117647059,7035.964117647059,0.5
150,17,17,150,190.43,183.54,562968.91,1.27,8.82,33115.82,9302.529411764706,9302.529411764706,0.5
200,17,17,200,233.77,185.72,705735.4,1.17,11.76,41513.85,11530.627647058822,11530.627647058822,0.5
250,17,17,250,288.0,188.27,893005.9600000001,1.15,14.71,52529.76,14311.961764705882,14311.961764705882,0.5
300,17,17,300,346.6,189.08,1087430.7500000002,1.16,17.65,63966.51,17342.78647058824,17342.78647058824,0.5
1,18,18,1,15.13,202.22,3060.23,15.13,0.06,170.01,39.56722222222223,39.56722222222223,0.5
50,18,18,50,103.3,202.85,320103.69,2.07,2.78,17783.54,4620.797222222222,4620.797222222222,0.5
100,18,18,100,139.67,183.3,429263.79,1.4,5.56,23847.99,6736.926666666666,6736.926666666666,0.5
150,18,18,150,182.7,181.33,567908.12,1.22,8.33,31550.45,8860.760555555555,8860.760555555555,0.5
200,18,18,200,224.17,183.98,711787.74,1.12,11.11,39543.76,10970.384444444446,10970.384444444446,0.5
250,18,18,250,274.87,188.32,898881.34,1.1,13.89,49937.85,13639.78,13639.78,0.5
300,18,18,300,328.63,195.28,1086153.64,1.1,16.67,60341.87,16435.423333333332,16435.423333333332,0.5
1,19,19,1,15.13,202.22,3060.23,15.13,0.05,161.06,37.484736842105264,37.484736842105264,0.5
50,19,19,50,103.27,217.65,335002.31000000006,2.07,2.63,17631.7,4521.795789473684,4521.795789473684,0.5
100,19,19,100,136.4,191.79,437623.14,1.36,5.26,23032.8,6535.565789473684,6535.565789473684,0.5
150,19,19,150,175.8,188.54,572762.91,1.17,7.89,30145.42,8481.671052631578,8481.671052631578,0.5
200,19,19,200,214.47,189.48,712579.3300000002,1.07,10.53,37504.18,10471.76105263158,10471.76105263158,0.5
250,19,19,250,263.9,186.27,904175.23,1.06,13.16,47588.17,13015.30210526316,13015.30210526316,0.5
300,19,19,300,314.27,189.97,1091493.72,1.05,15.79,57447.04,15649.599473684208,15649.599473684208,0.5
1,20,20,1,15.13,202.22,3060.23,15.13,0.05,153.01,35.6105,35.6105,0.5
50,20,20,50,103.13,215.07,349847.18999999994,2.06,2.5,17492.36,4441.883,4441.883,0.5
100,20,20,100,132.6,188.43,444381.2400000001,1.33,5.0,22219.06,6291.858999999999,6291.858999999999,0.5
