No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Energy_consumption,Avg_power,Costmer_density
10,50,162.20,195.81,280974.11,3.24,5.00,28097.41,"81.37,89.18,85.40,81.47,77.35,79.47,78.80,87.61,82.01,86.02","11839468.73,11854986.31,12168910.60,11353449.28,10567711.01,10118573.95,10115395.79,10334563.80,9071458.33,9181754.87",0.5
10,50,123.70,185.10,207195.72,2.47,5.00,20719.57,"80.41,77.00,78.00,81.44,80.74,78.46,78.29,74.54,73.87,79.94","8908388.68,8421826.32,8005341.63,8037813.07,8126326.24,7873940.40,7983377.34,7777996.43,7714693.56,8784791.44",0.5
